id,title,director,actors,genre,description,year
78,Gone with the Wind,"Victor Fleming, George Cukor","Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard","Drama, History, Romance",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,1939
79,Gunga Din,George Stevens,"Cary Grant, Victor McLaglen, Douglas Fairbanks Jr., Sam Jaffe, Eduardo Ciannelli, Joan Fontaine, Montagu Love, Robert Coote, Abner Biberman, Lumsden Hare","Adventure, Comedy, War","In 19th century India, three British soldiers and a native waterbearer must stop a secret mass revival of the murderous Thuggee cult before it can rampage across the land.",1939
80,Intermezzo: A Love Story,Gregory Ratoff,"Leslie Howard, Ingrid Bergman, Edna Best, John Halliday, Cecil Kellaway, Enid Bennett, Ann E. Todd, Douglas Scott, Eleanor Wesselhoeft, Maria Flynn","Romance, Drama","A concert violinist becomes charmed with his daughter's talented piano teacher. When he invites her to go on tour with him, they make beautiful music away from the concert hall as well. He ...",1939
81,Mr. Smith Goes to Washington,Frank Capra,"Jean Arthur, James Stewart, Claude Rains, Edward Arnold, Guy Kibbee, Thomas Mitchell, Eugene Pallette, Beulah Bondi, H.B. Warner, Harry Carey, Astrid Allwyn, Ruth Donnelly, Grant Mitchell, Porter Hall, H.V. Kaltenborn","Comedy, Drama","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",1939
82,Ninotchka,Ernst Lubitsch,"Greta Garbo, Melvyn Douglas, Ina Claire, Bela Lugosi, Sig Ruman, Felix Bressart, Alexander Granach, Gregory Gaye, Rolfe Sedan, Edwin Maxwell, Richard Carle","Comedy, Romance",A stern Russian woman sent to Paris on official business finds herself attracted to a man who represents everything she is supposed to detest.,1939
83,Only Angels Have Wings,Howard Hawks,"Cary Grant, Jean Arthur, Richard Barthelmess, Rita Hayworth, Thomas Mitchell, Allyn Joslyn, Sig Ruman, Victor Kilian, John Carroll, Don 'Red' Barry, Noah Beery Jr., Manuel Álvarez Maciste, Milissa Sierra, Lucio Villegas, Pat Flaherty","Adventure, Drama, Romance","At a remote South American trading port, the manager of an air freight company is forced to risk his pilots' lives in order to win an important contract.",1939
84,The Roaring Twenties,Raoul Walsh,"James Cagney, Priscilla Lane, Humphrey Bogart, Gladys George, Jeffrey Lynn, Frank McHugh, Paul Kelly, Elisabeth Risdon, Edward Keane, Joe Sawyer, Joseph Crehan, George Meeker, John Hamilton, Robert Elliott, Eddy Chandler","Action, Crime, Drama",Three men attempt to make a living in Prohibitionist America after returning home from fighting together in World War I.,1939
85,La règle du jeu,Jean Renoir,"Nora Gregor, Paulette Dubost, Mila Parély, Odette Talazac, Claire Gérard, Anne Mayen, Lise Elina, Marcel Dalio, Julien Carette, Roland Toutain, Gaston Modot, Jean Renoir, Pierre Magnier, Eddy Debray, Pierre Nay","Comedy, Drama","A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",1939
86,Stagecoach,John Ford,"Claire Trevor, John Wayne, Andy Devine, John Carradine, Thomas Mitchell, Louise Platt, George Bancroft, Donald Meek, Berton Churchill, Tim Holt, Tom Tyler","Adventure, Drama, Western",A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,1939
87,The Wizard of Oz,"Victor Fleming, George Cukor","Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Charley Grapewin, Pat Walshe, Clara Blandick, Terry, The Singer Midgets","Adventure, Family, Fantasy",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,1939
88,The Women,George Cukor,"Norma Shearer, Joan Crawford, Rosalind Russell, Mary Boland, Paulette Goddard, Joan Fontaine, Lucile Watson, Phyllis Povah, Virginia Weidler, Marjorie Main, Virginia Grey, Ruth Hussey, Muriel Hutchison, Hedda Hopper, Florence Nash","Comedy, Drama",A study of the lives and romantic entanglements of various interconnected women.,1939
89,Wuthering Heights,William Wyler,"Merle Oberon, Laurence Olivier, David Niven, Flora Robson, Donald Crisp, Geraldine Fitzgerald, Hugh Williams, Leo G. Carroll, Miles Mander, Cecil Kellaway, Cecil Humphreys, Sarita Wooton, Rex Downing, Douglas Scott","Drama, Romance",A servant in the house of Wuthering Heights tells a traveller the unfortunate tale of lovers Cathy and Heathcliff.,1939
90,Young Mr. Lincoln,John Ford,"Henry Fonda, Alice Brady, Marjorie Weaver, Arleen Whelan, Eddie Collins, Pauline Moore, Richard Cromwell, Donald Meek, Judith Dickens, Eddie Quillan, Spencer Charters, Ward Bond","Biography, Drama, History",A fictionalized account of the early life of the American president as a young lawyer facing his greatest court case.,1939
91,Fantasia,"James Algar, Samuel Armstrong","Leopold Stokowski, Deems Taylor","Animation, Family, Fantasy",A collection of animated interpretations of great works of Western classical music.,1940
92,Foreign Correspondent,Alfred Hitchcock,"Joel McCrea, Laraine Day, Herbert Marshall, George Sanders, Albert Bassermann, Robert Benchley, Edmund Gwenn, Eduardo Ciannelli, Harry Davenport, Martin Kosleck, Frances Carson, Ian Wolfe, Charles Wagenheim, Eddie Conrad, Charles Halton","Action, Romance, Thriller","On the eve of World War II, a young American reporter tries to expose enemy agents in London.",1940
93,The Grapes of Wrath,John Ford,"Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin, Dorris Bowdon, Russell Simpson, O.Z. Whitehead, John Qualen, Eddie Quillan, Zeffie Tilbury, Frank Sully, Frank Darien, Darryl Hickman, Shirley Mills, Roger Imhof","Drama, History","A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",1940
94,The Great Dictator,Charles Chaplin,"Charles Chaplin, Jack Oakie, Reginald Gardiner, Henry Daniell, Billy Gilbert, Grace Hayle, Carter DeHaven, Paulette Goddard, Maurice Moscovitch, Emma Dunn, Bernard Gorcey, Paul Weigel, Chester Conklin, Esther Michelson, Hank Mann","Comedy, Drama, War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1940
95,His Girl Friday,Howard Hawks,"Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart, Porter Hall, Ernest Truex, Cliff Edwards, Clarence Kolb, Roscoe Karns, Frank Jenks, Regis Toomey, Abner Biberman, Frank Orth, John Qualen, Helen Mack","Comedy, Drama, Romance",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,1940
96,The Letter,William Wyler,"Bette Davis, Herbert Marshall, James Stephenson, Frieda Inescort, Gale Sondergaard, Bruce Lester, Elizabeth Inglis, Cecil Kellaway, Victor Sen Yung, Doris Lloyd, Willie Fung, Tetsu Komai","Crime, Drama, Film-Noir","The wife of a rubber plantation administrator shoots a man to death and claims it was self-defense, but a letter in her own hand may prove her undoing.",1940
97,The Philadelphia Story,George Cukor,"Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey, John Howard, Roland Young, John Halliday, Mary Nash, Virginia Weidler, Henry Daniell, Lionel Pape, Rex Evans","Comedy, Romance","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",1940
98,Pinocchio,"Norman Ferguson, T. Hee","Mel Blanc, Don Brodie, Stuart Buchanan, Walter Catlett, Marion Darlington, Frankie Darro, Cliff Edwards, Dickie Jones, Charles Judels, John McLeish, Patricia Page, Christian Rub, Evelyn Venable","Animation, Comedy, Family","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",1940
99,Rebecca,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson, Nigel Bruce, Reginald Denny, C. Aubrey Smith, Gladys Cooper, Florence Bates, Melville Cooper, Leo G. Carroll, Leonard Carey, Lumsden Hare, Edward Fielding, Philip Winter","Drama, Mystery, Romance",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,1940
100,The Shop Around the Corner,Ernst Lubitsch,"Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut, Sara Haden, Felix Bressart, William Tracy, Inez Courtney, Sarah Edwards, Edwin Maxwell, Charles Halton, Charles Smith","Comedy, Drama, Romance","Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",1940
101,The Thief of Bagdad,"Ludwig Berger, Michael Powell","Conrad Veidt, Sabu, June Duprez, John Justin, Rex Ingram, Miles Malleson, Morton Selten, Mary Morris, Bruce Winston, Hay Petrie, Adelaide Hall, Roy Emerton, Allan Jeayes","Adventure, Family, Fantasy","After being tricked and cast out of Bagdad by the evil Jaffar, King Ahmad joins forces with a thief named Abu to reclaim his throne, the city, and the Princess he loves.",1940
102,The Westerner,William Wyler,"Gary Cooper, Walter Brennan, Doris Davenport, Fred Stone, Forrest Tucker, Paul Hurst, Chill Wills, Lilian Bond, Dana Andrews, Charles Halton, Trevor Bardette, Tom Tyler, Lucien Littlefield","Drama, Romance, Western","Judge Roy Bean, a self-appointed hanging judge in Vinegarroon, Texas, befriends saddle tramp Cole Harden, who opposes Bean's policy against homesteaders.",1940
103,Citizen Kane,Orson Welles,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick, Ray Collins, Erskine Sanford, Everett Sloane, William Alland, Paul Stewart, George Coulouris, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon","Drama, Mystery","Following the death of publishing tycoon, Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",1941
104,Dumbo,"Samuel Armstrong, Norman Ferguson","Herman Bing, Billy Bletcher, Edward Brophy, Hall Johnson Choir, Cliff Edwards, Verna Felton, Noreen Gammill, Eddie Holden, Sterling Holloway, Malcolm Hutton, James MacDonald, Harold Manley, John McLeish, Jack Mercer, Tony Neil","Animation, Drama, Family","Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",1941
105,High Sierra,Raoul Walsh,"Ida Lupino, Humphrey Bogart, Alan Curtis, Arthur Kennedy, Joan Leslie, Henry Hull, Henry Travers, Jerome Cowan, Minna Gombell, Barton MacLane, Elisabeth Risdon, Cornel Wilde, Donald MacBride, Paul Harvey, Isabel Jewell","Action, Adventure, Crime","After being released from prison, notorious thief Roy Earle is hired by his old boss to help a group of inexperienced criminals plan and carry out the robbery of a California resort.",1941
106,How Green Was My Valley,John Ford,"Walter Pidgeon, Maureen O'Hara, Anna Lee, Donald Crisp, Roddy McDowall, John Loder, Sara Allgood, Barry Fitzgerald, Patric Knowles, Welsh Singers, Morton Lowry, Arthur Shields, Ann E. Todd, Frederick Worlock, Richard Fraser","Drama, Family","At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.",1941
107,The Lady Eve,Preston Sturges,"Barbara Stanwyck, Henry Fonda, Charles Coburn, Eugene Pallette, William Demarest, Eric Blore, Melville Cooper, Martha O'Driscoll, Janet Beecher, Robert Greig, Dora Clement, Luis Alberni","Comedy, Romance","A trio of classy card sharks targets the socially awkward heir to brewery millions for his money, until one of them falls in love with him.",1941
108,The Maltese Falcon,John Huston,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre, Barton MacLane, Lee Patrick, Sydney Greenstreet, Ward Bond, Jerome Cowan, Elisha Cook Jr., James Burke, Murray Alper, John Hamilton","Film-Noir, Mystery","A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",1941
109,Meet John Doe,Frank Capra,"Gary Cooper, Barbara Stanwyck, Edward Arnold, Walter Brennan, Spring Byington, James Gleason, Gene Lockhart, Rod La Rocque, Irving Bacon, Regis Toomey, J. Farrell MacDonald, Warren Hymer, Harry Holman, Andrew Tombes, Pierre Watkin","Comedy, Drama, Romance","A man needing money agrees to impersonate a nonexistent person who said he'd be committing suicide as a protest, and a political movement begins.",1941
110,Sergeant York,Howard Hawks,"Gary Cooper, Walter Brennan, Joan Leslie, George Tobias, Stanley Ridges, Margaret Wycherly, Ward Bond, Noah Beery Jr., June Lockhart, Dickie Moore, Clem Bevans, Howard Da Silva, Charles Trowbridge, Harvey Stephens, David Bruce","Biography, Drama, History",A marksman is drafted in World War I and ends up becoming one of the most celebrated war heroes.,1941
111,Sullivan's Travels,Preston Sturges,"Joel McCrea, Veronica Lake, Robert Warwick, William Demarest, Franklin Pangborn, Porter Hall, Byron Foulger, Margaret Hayes, Robert Greig, Eric Blore, Torben Meyer, Victor Potel, Richard Webb, Charles R. Moore, Almira Sessions","Adventure, Comedy, Drama","A director of escapist films goes on the road as a hobo to learn about life, which gives him a rude awakening.",1941
112,Suspicion,Alfred Hitchcock,"Cary Grant, Joan Fontaine, Cedric Hardwicke, Nigel Bruce, May Whitty, Isabel Jeans, Heather Angel, Auriol Lee, Reginald Sheffield, Leo G. Carroll","Mystery, Thriller","A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.",1941
113,The Wolf Man,George Waggner,"Lon Chaney Jr., Claude Rains, Warren William, Ralph Bellamy, Patric Knowles, Bela Lugosi, Maria Ouspenskaya, Evelyn Ankers, J.M. Kerrigan, Fay Helm, Forrester Harvey",Horror,"A practical man returns to his homeland, is attacked by a creature of folklore, and infected with a horrific disease his disciplined mind tells him can not possibly exist.",1941
114,Bambi,"James Algar, Samuel Armstrong","Hardie Albright, Stan Alexander, Bobette Audrey, Peter Behn, Thelma Boardman, Janet Chapman, Jeanne Christy, Dolyn Bramston Cook, Marion Darlington, Tim Davis, Donnie Dunagan, Sam Edwards, Ann Gillis, Otis Harlan, Eddie Holden","Animation, Drama, Family",The story of a young deer growing up in the forest.,1942
115,Casablanca,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois","Drama, Romance, War",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,1942
116,Cat People,Jacques Tourneur,"Simone Simon, Kent Smith, Tom Conway, Jane Randolph, Jack Holt","Fantasy, Horror, Thriller",An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.,1942
117,Holiday Inn,Mark Sandrich,"Bing Crosby, Fred Astaire, Marjorie Reynolds, Virginia Dale, Walter Abel, Louise Beavers, Irving Bacon, Marek Windheim, James Bell, John Gallaudet, Shelby Bacon, Joan Arnold, Bob Crosby Orchestra","Comedy, Drama, Music","At an inn which is only open on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer.",1942
118,The Magnificent Ambersons,"Orson Welles, Fred Fleck","Joseph Cotten, Dolores Costello, Anne Baxter, Tim Holt, Agnes Moorehead, Ray Collins, Erskine Sanford, Richard Bennett, Orson Welles","Drama, Romance",The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.,1942
